local_id,group_name,group_description,group_membership_rule,group_membership_rule_name
not_active_in_workday,Inherited - Type - Not Active in Workday,Managed by Workday - Users not currently authorized to work,"(user.workerType == ""Employee"" OR user.workerType == ""Contingent Worker"") AND user.workdayActiveStatus != true",Type - Not Active in Workday
not_compliant_with_training,Inherited - Type - Not Compliant with Training,Managed by Workday - Users not currently authorized to work,"(user.workerType == ""Employee"" OR user.workerType == ""Contingent Worker"") AND user.trainingComplianceStatus != true",Type - Not Compliant with Training
type_consultant,Inherited - Type - Consultant,Managed by Workday - Users with the Consultant worker type,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Contingent Worker"" AND user.workerSubtype == ""Consultant"")",Type - Consultant
type_contractor,Inherited - Type - Contractor,Managed by Workday - Users with the Contractor worker type,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Contingent Worker"" AND user.workerSubtype == ""Contractor"")",Type - Contractor
type_dod_ic,Inherited - Type - DOD IC,Managed by Workday - Users with the DOD IC worker type,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Contingent Worker"" AND user.workerSubtype == ""DOD IC"")",Type - DOD IC
type_nimble_gravity,Inherited - Type - Nimble Gravity,Managed by Workday - Users with the Nimble Gravity supplier attribute,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Contingent Worker"" AND user.contingentWorkerSupplier == ""Nimble Gravity"")",Type - Nimble Gravity
type_vendor,Inherited - Type - Vendor,Managed by Workday - Users with the Vendor worker type,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Contingent Worker"" AND user.workerSubtype == ""Vendor"")",Type - Vendor
type_full_time_employee,Inherited - Type - Full Time Employee,Managed by Workday - Users with the Full Time Employee worker type,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.timeType == ""Full time"")",Type - Full Time Employee
type_human,Inherited - Type - Human,Managed by Workday - Users with the Humans worker type,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" OR user.workerType == ""Contingent Worker"")",Type - Human
type_contingent_worker,Inherited - Type - Contingent Worker,Managed by Workday - Users with the Contingent Worker worker type,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Contingent Worker"")",Type - Contingent Worker
type_employee,Inherited - Type - Employee,Managed by Workday - Users with the Employee worker type,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"") AND !isMemberOfGroup(""00g1jrcjnfun0C9WX697"")",Type - Employee
type_full_time,Inherited - Type - Full Time,Managed by Workday - Users with the Full Time worker type,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.timeType == ""Full time"")",Type - Full Time
type_part_time,Inherited - Type - Part Time,Managed by Workday - Users with the Part Time worker type,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.timeType == ""Part time"")",Type - Part Time
type_people_manager,Inherited - Type - People Manager,Managed by Workday - Employees who have direct reports,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.peopleManager == true)",Type - People Manager
type_minnesota_office_worker,Inherited - Type - Minnesota Office Worker,Managed by Workday - Workers of the Minnesota Office,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.officeLocation == ""Minnesota - Office"")",Type - Minnesota Office Worker
type_lewiston_office_worker,Inherited - Type - Lewiston Office Worker,Managed by Workday - Workers of the Lewiston Office,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.officeLocation == ""Lewiston - Office"")",Type - Lewiston Office Worker
type_remote_worker,Inherited - Type - Remote Worker,Managed by Workday - Remote Workers,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.officeLocation == ""Remote"")",Type - Remote Worker
type_reno_office_worker,Inherited - Type - Reno Office Worker,Managed by Workday - Workers of the Reno Office,"isMemberOfGroup(""${okta_onboarding_username_confirmed_group_id}"") AND (user.workerType == ""Employee"" AND user.officeLocation == ""Reno - Office"")",Type - Reno Office Worker
